Realm,Genus,Species,data_gatherer,habitat_data_gatherer,Kingdom,Phylum,Class,Order,Family,maximum_body_size_SVL_HBL_cm_,Source_for_maximum_body_size,notes_on_body_size_e_g_type_of_metric_,Trophic_position,Source_logic_for_trophic_position,migratory_,source_logic_for_migration_info,dispersal_distance_category,logic_source_for_dispersal_distance,dispersal_type_walking_may_need_to_be_reworded_to_something_that_encaptures_slithering_,logic_source_for_dispersal_type,cold_season_dormancy_,source_logic_for_cold_season_dormancy,notes_for_cold_season_dormancy,hot_season_dormancy_,source_logic_for_hot_season_dormancy,notes_for_hot_season_dormancy,highland_specialist,source_logic_for_highland_specialist,coastal_or_oceanic,notes_logic,coastal_or_oceanic_source,upper_depth_limit,lower_depth_limit,usual_range,depth_distribution_source,lower_elevation_limit_meters,upper_elevation_limit_meters,elevational_range_source,pelagic_habitat_for_marine_species,source_logic_for_pelagic_habitat,genus_species,limit_type,notes,newly_added
Terrestrial,Crotalus,cerastes,Miguel R.,Sarah,Animalia,Chordata,Reptilia,Squamata,Viperidae,61.5,ADW U of Michigan,max adult SVL,carnivore,ADW U of Michigan,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",1-10,"Secor, S. M. (1994). Ecological significance of movements and activity range for the sidewinder, Crotalus cerastes. Copeia, 631-645.",slithering,Squamate slithering tetrapod,Yes,"Secor, S. M. (1994). Copeia, 631-645.",,No,"Secor, S. M. (1995). Ecological aspects of foraging mode for the snakes Crotalus cerastes and Masticophis flagellum. Herpetological Monographs, 169-186.",active season in summer,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,0,1850,NatureServe Explorer,NA,terrestrial,Crotalus_cerastes,max,NA,NA
Terrestrial,Crotalus,scutulatus,Miguel R.,Sarah,Animalia,Chordata,Reptilia,Squamata,Viperidae,106.6,Watson et al. (2019) Zootaxa 4683(1): 129-143,max adult SVL,carnivore,"Mackessy, S. P., Williams, K., & Ashton, K. G. (2003). Ontogenetic variation in venom composition and diet of Crotalus oreganus concolor: a case of venom paedomorphosis?. Copeia, 2003(4), 769-782.",Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",1-10,no info - based on congeners,slithering,Squamate slithering tetrapod,Yes,"Cardwell, M. D. (2013). Behavioral changes by Mohave rattlesnakes (Crotalus scutulatus) in response to drought (Master's thesis).",,No,"Schuett, G. W., Carlisle, S. L., Holycross, A. T., O’LEILE, J. K., Hardy Sr, D. L., Van Kirk, E. A., & Murdoch, W. J. (2002). Mating system of male Mojave rattlesnakes (Crotalus scutulatus): seasonal timing of mating, agonistic behavior, spermatogenesis, sexual segment of the kidney, and plasma sex steroids. Biology of the Vipers. Eagle Mountain Publishing, Eagle Mountain, Utah, USA, 515-532.",active season in summer,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,0,2530,Snake Database,NA,terrestrial,Crotalus_scutulatus,max,NA,NA
Terrestrial,Crotalus,viridis,Miguel R.,Sarah,Animalia,Chordata,Reptilia,Squamata,Viperidae,165,ADW U of Michigan,max body length,carnivore,ADW U of Michigan,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",1-10,no info - based on congeners,walking,Squamate slithering tetrapod,Yes,"Sexton, O. J., & Marion, K. R. (1981). Oecologia, 51(1), 37-41.",,No,"Diller, L. V., & Wallace, R. L. (1996). Comparative ecology of two snake species (Crotalus viridis and Pituophis melanoleucus) in southwestern Idaho. Herpetologica, 343-360.",active in summer,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,0,3000,Snake Database,NA,terrestrial,Crotalus_viridis,max,NA,NA
Terrestrial,Crotaphytus,collaris,Adam A,Sarah,Animalia,Chordata,Reptilia,Squamata,Crotaphytidae,13.1,Meiri 2008,max adult SVL,carnivore,10.1890/0012-9658(2002)083[1870:LHRREO]2.0.CO;2,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"Blevins, E., & Wisely, S. M. (2011). Historical processes and landscape context influence genetic structure in peripheral populations of the collared lizard (Crotaphytus collaris). Landscape ecology, 26(8), 1125.",walking,Squamate walking tetrapod,Yes,http://reptile-database.reptarium.cz/species?genus=Woodworthia&species=maculatus,,No,Personal observations during hot season,,non-highland specialist,Personal observation below 1000m,NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Crotaphytus_collaris,max,"Many reptile species undergo partial cold season dormancy termed ""brumation"". This is not full dormancy as they can return to more 'normal' activity on warm days, Many reptile species undergo partial cold season dormancy termed ""brumation"". This is not full dormancy as they can return to more 'normal' activity on warm days",NA
Terrestrial,Cryptoblepharus,litoralis,Adam A,Sarah,Animalia,Chordata,Reptilia,Squamata,Scincidae,5.5,Meiri 2008,max adult SVL,insectivore,guess based on others in family,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,No,no info - based on congeners ,,No,no info - based on climate,,non-highland specialist,http://www.arod.com.au/arod/reptilia/Squamata/Scincidae/Cryptoblepharus/litoralis,NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Cryptoblepharus_litoralis,max,NA,NA
Terrestrial,Cryptoblepharus,plagiocephalus,Adam A,Sarah,Animalia,Chordata,Reptilia,Squamata,Scincidae,4.7,Meiri 2008,max adult SVL,insectivore,guess based on others in family,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,No,no info - based on congeners ,,No,no info - based on climate,,non-highland specialist,http://www.arod.com.au/arod/reptilia/Squamata/Scincidae/Cryptoblepharus/plagiocephalus,NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Cryptoblepharus_plagiocephalus,max,NA,NA
Terrestrial,Cryptoblepharus,virgatus,Adam A,Sarah,Animalia,Chordata,Reptilia,Squamata,Scincidae,4.1,Meiri 2008,max adult SVL,insectivore,guess based on others in family,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,No,no info - based on congeners ,,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,0,600,IUCN,NA,terrestrial,Cryptoblepharus_virgatus,max,NA,NA
Terrestrial,Ctenophorus,cristatus,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Agamidae,1.1,Meiri 2008,max adult SVL,omnivore,"Walton, D. W. Ed. 1987. Fauna of Australia, Volume 1A. Australian Government Publishing Service, Canberra. ISBN 0-644-06055-8",Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,no info - based on congeners,,No,no info,,non-highland specialist,Based on range,NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Ctenophorus_cristatus,max,NA,NA
Terrestrial,Ctenophorus,decresii,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Agamidae,9,Meiri 2008,max adult SVL,omnivore,"Walton, D. W. Ed. 1987. Fauna of Australia, Volume 1A. Australian Government Publishing Service, Canberra. ISBN 0-644-06055-9",Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"McLean, C. A., Bartle, R. A., Dong, C. M., Rankin, K. J., & Stuart-Fox, D. (2020). Divergent male and female mate preferences do not explain incipient speciation between lizard lineages. Current Zoology.",hibernation,No,no info - based on climate,,non-highland specialist,Based on range,NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Ctenophorus_decresii,"max, min",NA,NA
Terrestrial,Ctenophorus,fordi,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Agamidae,5.315,Meiri 2008,max adult SVL,omnivore,"Walton, D. W. Ed. 1987. Fauna of Australia, Volume 1A. Australian Government Publishing Service, Canberra. ISBN 0-644-06055-10",Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Olsson, M. (2001). Behavioral Ecology and Sociobiology, 50(4), 378-381.",,No,no info,,non-highland specialist,Based on range,NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Ctenophorus_fordi,max,NA,NA
Terrestrial,Ctenophorus,maculosus,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Agamidae,6.46,Meiri 2008,max adult SVL,omnivore,"Walton, D. W. Ed. 1987. Fauna of Australia, Volume 1A. Australian Government Publishing Service, Canberra. ISBN 0-644-06055-11",Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Jessop, T. S., Chan, R., & Stuart-Fox, D. (2009). Journal of Comparative Physiology A, 195(7), 619-630.",,No,no info,,non-highland specialist,Based on range,NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Ctenophorus_maculosus,max,NA,NA
Terrestrial,Ctenophorus,nuchalis,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Agamidae,9.525,Meiri 2008,max adult SVL,omnivore,"Walton, D. W. Ed. 1987. Fauna of Australia, Volume 1A. Australian Government Publishing Service, Canberra. ISBN 0-644-06055-12",Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Daniels, C. B., Barr, H. A., Power, J. H., & Nicholas, T. E. (1990). Experimental lung research, 16(5), 435-449.",,No,no info,,non-highland specialist,Based on range,NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Ctenophorus_nuchalis,max,NA,NA
Terrestrial,Ctenophorus,pictus,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Agamidae,6.25,Meiri 2008,max adult SVL,omnivore,"Walton, D. W. Ed. 1987. Fauna of Australia, Volume 1A. Australian Government Publishing Service, Canberra. ISBN 0-644-06055-13",Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Uller, T., & Olsson, M. (2005). Journal of Experimental Zoology Part A: Comparative Experimental Biology, 303(12), 1115-1119.",,No,no info,,non-highland specialist,Based on range,NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Ctenophorus_pictus,max,NA,NA
Terrestrial,Ctenophorus,reticulatus,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Agamidae,8.853,Meiri 2008,max adult SVL,omnivore,"Walton, D. W. Ed. 1987. Fauna of Australia, Volume 1A. Australian Government Publishing Service, Canberra. ISBN 0-644-06055-14",Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,no info - based on congeners,,No,no info,,non-highland specialist,Based on range,NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Ctenophorus_reticulatus,max,NA,NA
